day,open,high,low,close,volume
2023-08-01 10:28:00,4018.264,4019.813,4018.008,4019.813,49920700
2023-08-01 10:29:00,4019.598,4019.680,4018.886,4019.292,40820100
2023-08-01 10:30:00,4019.162,4019.268,4018.555,4019.268,44779600
2023-08-01 10:31:00,4019.075,4022.453,4018.823,4022.453,58649000
2023-08-01 10:32:00,4022.548,4022.638,4021.095,4021.296,62208700
2023-08-01 10:33:00,4021.071,4021.071,4019.703,4019.887,49178600
2023-08-01 10:34:00,4019.449,4019.699,4018.361,4018.361,40408100
2023-08-01 10:35:00,4018.521,4018.521,4017.247,4017.247,44622400
2023-08-01 10:36:00,4016.999,4017.501,4015.886,4015.886,57580500
2023-08-01 10:37:00,4015.896,4016.090,4014.560,4014.612,61386200
2023-08-01 10:38:00,4014.378,4014.619,4014.017,4014.466,53524700
2023-08-01 10:39:00,4014.424,4014.424,4013.315,4013.469,61856400
2023-08-01 10:40:00,4013.119,4013.119,4011.813,4011.846,67620800
2023-08-01 10:41:00,4011.697,4012.283,4011.297,4012.000,58454800
2023-08-01 10:42:00,4011.916,4011.916,4010.305,4010.311,51402000
2023-08-01 10:43:00,4009.827,4009.899,4007.464,4007.464,58462400
2023-08-01 10:44:00,4007.354,4008.868,4007.298,4008.594,51659000
2023-08-01 10:45:00,4008.379,4009.185,4007.822,4008.708,43362800
2023-08-01 10:46:00,4008.543,4010.850,4008.543,4010.850,46293200
2023-08-01 10:47:00,4011.071,4011.220,4010.248,4010.429,48772900
2023-08-01 10:48:00,4010.551,4011.506,4010.331,4011.165,48018600
2023-08-01 10:49:00,4011.001,4011.518,4010.600,4010.984,44912700
2023-08-01 10:50:00,4011.190,4011.190,4008.559,4008.559,62281000
2023-08-01 10:51:00,4008.769,4008.769,4006.236,4006.236,82677800
2023-08-01 10:52:00,4005.997,4005.997,4004.345,4004.634,94756300
2023-08-01 10:53:00,4004.183,4004.183,4002.043,4002.043,65070700
2023-08-01 10:54:00,4001.968,4004.747,4001.779,4003.646,74211000
2023-08-01 10:55:00,4004.095,4004.437,4003.332,4003.504,55648400
2023-08-01 10:56:00,4003.785,4006.071,4003.785,4003.886,55957400
2023-08-01 10:57:00,4004.036,4005.354,4003.681,4005.354,47025100
2023-08-01 10:58:00,4005.504,4005.941,4004.759,4005.185,48677300
2023-08-01 10:59:00,4005.543,4005.650,4004.159,4004.366,51681500
2023-08-01 11:00:00,4004.730,4005.309,4003.794,4004.022,62769000
2023-08-01 11:01:00,4003.902,4004.687,4003.009,4003.959,68724900
2023-08-01 11:02:00,4003.754,4004.163,4002.992,4003.083,43924800
2023-08-01 11:03:00,4002.745,4004.931,4002.641,4004.931,55246500
2023-08-01 11:04:00,4005.019,4005.019,4002.476,4002.545,44778300
2023-08-01 11:05:00,4002.158,4004.811,4002.158,4004.411,57220100
2023-08-01 11:06:00,4004.184,4006.140,4003.389,4005.660,52188100
2023-08-01 11:07:00,4005.331,4006.669,4005.331,4006.665,43618500
2023-08-01 11:08:00,4006.706,4007.180,4005.685,4006.754,31588700
2023-08-01 11:09:00,4006.721,4006.721,4005.025,4005.025,32402200
2023-08-01 11:10:00,4004.929,4007.021,4004.535,4006.142,42765200
2023-08-01 11:11:00,4006.295,4009.074,4006.295,4009.074,59438600
2023-08-01 11:12:00,4009.316,4009.986,4009.125,4009.261,38781900
2023-08-01 11:13:00,4009.273,4009.597,4008.564,4008.805,34672300
2023-08-01 11:14:00,4009.114,4009.114,4008.057,4008.057,33743500
2023-08-01 11:15:00,4008.185,4010.331,4007.430,4010.251,37586100
2023-08-01 11:16:00,4010.635,4010.635,4009.445,4009.893,47386800
2023-08-01 11:17:00,4009.519,4009.519,4006.931,4006.931,46769900
2023-08-01 11:18:00,4006.593,4006.881,4006.155,4006.226,38256300
2023-08-01 11:19:00,4006.194,4008.241,4006.194,4007.939,43401600
2023-08-01 11:20:00,4007.746,4007.985,4006.490,4006.490,41221900
2023-08-01 11:21:00,4006.561,4007.486,4006.561,4006.745,40605900
2023-08-01 11:22:00,4006.885,4008.269,4006.726,4006.773,49471800
2023-08-01 11:23:00,4006.794,4007.972,4006.694,4007.972,43977800
2023-08-01 11:24:00,4008.313,4009.328,4008.313,4008.796,43292500
2023-08-01 11:25:00,4008.785,4009.061,4008.474,4008.885,34040000
2023-08-01 11:26:00,4008.947,4009.653,4008.870,4009.653,28001300
2023-08-01 11:27:00,4010.063,4011.769,4010.063,4010.329,41425000
2023-08-01 11:28:00,4010.376,4011.236,4010.376,4011.043,27133900
2023-08-01 11:29:00,4011.307,4011.454,4010.987,4011.296,28410300
2023-08-01 11:30:00,4011.690,4011.732,4010.639,4010.639,27239500
2023-08-01 13:01:00,4010.752,4010.752,4007.972,4008.480,110982600
2023-08-01 13:02:00,4008.340,4008.419,4006.371,4006.428,39506700
2023-08-01 13:03:00,4006.696,4007.009,4005.607,4007.009,38741400
2023-08-01 13:04:00,4007.164,4007.164,4005.684,4005.684,38435600
2023-08-01 13:05:00,4005.642,4006.204,4004.769,4004.828,37963700
2023-08-01 13:06:00,4005.160,4005.160,4003.521,4004.105,37160800
2023-08-01 13:07:00,4004.282,4007.357,4004.282,4005.438,42271300
2023-08-01 13:08:00,4005.596,4005.596,4004.197,4004.197,32042900
2023-08-01 13:09:00,4004.245,4004.335,4002.717,4002.717,31673900
2023-08-01 13:10:00,4002.519,4002.519,3999.651,3999.651,66839100
2023-08-01 13:11:00,3999.664,3999.664,3997.942,3997.942,51344300
2023-08-01 13:12:00,3997.972,3997.972,3996.770,3996.825,43822600
2023-08-01 13:13:00,3996.591,3998.066,3996.154,3997.512,61865100
2023-08-01 13:14:00,3997.197,3997.872,3996.758,3996.758,32714500
2023-08-01 13:15:00,3996.423,3996.456,3995.102,3995.111,36612200
2023-08-01 13:16:00,3995.020,3996.673,3994.841,3996.003,51768900
